case_id,area,case,round-1,round-2,round-3
CMD-001,Config,v2 配置明确拆分 channel runtime scheduling,PASS,NOT_RUN,PASS
CMD-002,Runtime,新会话使用 codex exec JSONL structured output,PASS,NOT_RUN,PASS
CMD-003,Runtime,既有会话使用 codex exec resume 且 session ID 不变,PASS,NOT_RUN,PASS
CMD-004,Runtime,非法 JSONL 失败 非零退出失败 timeout 可终止,PASS,NOT_RUN,PASS
CMD-005,Scheduler,新消息可取消活动 CLI 进程并重新合批,PASS,NOT_RUN,PASS
CMD-006,Persistence,provisioning ready 与命令指纹 fail closed,PASS,NOT_RUN,PASS
CMD-007,CLI,doctor verify status view 显示命令 runtime 语义且脱敏,PASS,NOT_RUN,PASS
CMD-008,Regression,全量 npm test 通过,PASS,NOT_RUN,PASS
CMD-009,Package,npm pack dry run 通过且无 App Server 运行依赖,PASS,NOT_RUN,PASS
CMD-010,Canary,真实 Codex new interrupt resume 同一 session 且上下文连续,PASS,NOT_RUN,PASS
CMD-011,Docs,README 示例和扩展边界同步且历史记录不被改写,PASS,NOT_RUN,PASS
CMD-012,GitHub,现有 PR 更新且 Windows Ubuntu CI 通过,NOT_RUN,PASS,NOT_RUN
